AGS,GEN,question_01,question_02
05158036,Wülfrath,96,68
05162004,Dormagen,63,49
05162008,Grevenbroich,84,73
05162012,Jüchen,45,79
05162016,Kaarst,69,57
05162020,Korschenbroich,43,66
05162022,Meerbusch,57,73
05162024,Neuss,29,17
05162028,Rommerskirchen,97,17
05166004,Brüggen,12,10
05166008,Grefrath,36,89
05166012,Kempen,50,23
05166016,Nettetal,82,56
05166020,Niederkrüchten,75,53
05166024,Schwalmtal,49,92
05166028,Tönisvorst,91,74
05166032,Viersen,20,64
05166036,Willich,26,20
05170004,Alpen,40,68
05170008,Dinslaken,40,100
05170012,Hamminkeln,23,61
05170016,Hünxe,63,95
05170020,Kamp-Lintfort,62,47
05170024,Moers,69,24
05170028,Neukirchen-Vluyn,88,87
05170032,Rheinberg,21,38
05170036,Schermbeck,23,59
05170040,Sonsbeck,53,66
05170044,Voerde (Niederrhein),87,28
05170048,Wesel,80,97
05170052,Xanten,32,85
05314000,Bonn,63,63
05315000,Köln,92,53
05316000,Leverkusen,98,95
05334002,Aachen,40,58
05334004,Alsdorf,64,29
05334008,Baesweiler,10,74
05334012,Eschweiler,86,25
05334016,Herzogenrath,80,98
05334020,Monschau,53,84
05334024,Roetgen,42,46
05334028,Simmerath,35,95
05334032,Stolberg (Rhld.),34,26
05334036,Würselen,82,37
05358004,Aldenhoven,37,21
05358008,Düren,12,65
05358012,Heimbach,16,64
05358016,Hürtgenwald,73,88
05358020,Inden,20,11
05358024,Jülich,97,54
05358028,Kreuzau,46,75
05358032,Langerwehe,25,43
05358036,Linnich,98,88
05358040,Merzenich,52,96
05358044,Nideggen,42,37
05358048,Niederzier,64,19
05358052,Nörvenich,29,70
05358056,Titz,25,15
05358060,Vettweiß,53,43
05362004,Bedburg,79,16
05362008,Bergheim,70,94
05362012,Brühl,58,29
05362016,Elsdorf,84,61
05362020,Erftstadt,74,13
05362024,Frechen,48,46
05362028,Hürth,78,63
05362032,Kerpen,32,70
05362036,Pulheim,81,21
05362040,Wesseling,26,34
05366004,Bad Münstereifel,21,45
05366008,Blankenheim,83,70
05366012,Dahlem,70,52
05366016,Euskirchen,28,70
05366020,Hellenthal,77,13
05366024,Kall,68,87
05366028,Mechernich,33,48
05366032,Nettersheim,20,89
05366036,Schleiden,53,95
05366040,Weilerswist,77,33
05366044,Zülpich,55,83
05370004,Erkelenz,76,49
05370008,Gangelt,87,30
05370012,Geilenkirchen,30,26
05370016,Heinsberg,72,10
05370020,Hückelhoven,44,71
05370024,Selfkant,85,41
05370028,Übach-Palenberg,56,76
05370032,Waldfeucht,95,71
05370036,Wassenberg,54,86
05370040,Wegberg,77,51
05374004,Bergneustadt,34,70
05374008,Engelskirchen,51,69
05374012,Gummersbach,60,97
05374016,Hückeswagen,99,66
05374020,Lindlar,75,49
05374024,Marienheide,51,86
05374028,Morsbach,55,18
05374032,Nümbrecht,27,91
05374036,Radevormwald,55,74
05374040,Reichshof,47,16
05374044,Waldbröl,45,21
05374048,Wiehl,60,14
05374052,Wipperfürth,54,20
05378004,Bergisch Gladbach,62,29
05378008,Burscheid,39,43
05378012,Kürten,29,67
05378016,Leichlingen (Rhld.),84,54
05378020,Odenthal,33,35
05378024,Overath,39,92
05378028,Rösrath,19,15
05378032,Wermelskirchen,32,49
05382004,Alfter,78,23
05382008,Bad Honnef,19,95
05382012,Bornheim,66,28
05382016,Eitorf,72,41
05382020,Hennef (Sieg),23,51
05382024,Königswinter,74,11
05382028,Lohmar,23,63
05382032,Meckenheim,48,88
05382036,Much,28,52
05382040,Neunkirchen-Seelscheid,15,27
05382044,Niederkassel,57,56
05382048,Rheinbach,69,74
05382052,Ruppichteroth,12,36
05382056,Sankt Augustin,95,15
05382060,Siegburg,67,81
05382064,Swisttal,29,12
05382068,Troisdorf,41,32
05382072,Wachtberg,14,82
05382076,Windeck,61,67
05512000,Bottrop,41,95
05513000,Gelsenkirchen,40,26
05515000,Münster,83,52
05554004,Ahaus,78,55
05554008,Bocholt,48,27
05554012,Borken,22,86
05554016,Gescher,89,68
05554020,Gronau (Westf.),62,36
05554024,Heek,72,57
05554028,Heiden,58,38
05554032,Isselburg,12,55
05554036,Legden,91,70
05554040,Raesfeld,93,64
05554044,Reken,98,13
05554048,Rhede,15,70
05554052,Schöppingen,47,20
05554056,Stadtlohn,96,13
05554060,Südlohn,17,50
05554064,Velen,54,87
05554068,Vreden,67,15
05558004,Ascheberg,35,76
05558008,Billerbeck,83,54
05558012,Coesfeld,31,85
05558016,Dülmen,61,34
05558020,Havixbeck,29,21
05558024,Lüdinghausen,61,40
05558028,Nordkirchen,16,57
05558032,Nottuln,87,39
05558036,Olfen,96,59
05558040,Rosendahl,35,54
05558044,Senden,57,39
05562004,Castrop-Rauxel,74,94
05562008,Datteln,59,95
05562012,Dorsten,95,70
05562014,Gladbeck,98,20
05562016,Haltern am See,94,41
05562020,Herten,61,27
05562024,Marl,24,83
05562028,Oer-Erkenschwick,99,57
05562032,Recklinghausen,27,72
05562036,Waltrop,78,59
05566004,Altenberge,97,72
05566008,Emsdetten,90,46
05566012,Greven,60,51
05566016,Hörstel,38,96
05566020,Hopsten,16,57
05566024,Horstmar,14,20
05566028,Ibbenbüren,18,57
05566032,Ladbergen,88,73
05566036,Laer,37,63
05566040,Lengerich,49,50
05566044,Lienen,23,68
05566048,Lotte,63,39
05566052,Metelen,30,14
05566056,Mettingen,52,55
05566060,Neuenkirchen,52,97
05566064,Nordwalde,19,76
05566068,Ochtrup,22,43
05566072,Recke,68,73
05566076,Rheine,69,66
05566080,Saerbeck,44,22
05566084,Steinfurt,63,86
05566088,Tecklenburg,74,39
05566092,Westerkappeln,29,38
05566096,Wettringen,67,17
05570004,Ahlen,84,25
05570008,Beckum,20,90
05570012,Beelen,23,64
05570016,Drensteinfurt,97,95
05570020,Ennigerloh,71,45
05570024,Everswinkel,62,24
05570028,Oelde,87,52
05570032,Ostbevern,44,42
05570036,Sassenberg,74,34
05570040,Sendenhorst,22,70
05570044,Telgte,32,53
05570048,Wadersloh,86,30
05570052,Warendorf,44,49
05711000,Bielefeld,24,11
05754004,Borgholzhausen,66,36
05754008,Gütersloh,57,80
05754012,Halle (Westf.),30,50
05754016,Harsewinkel,85,84
05754020,Herzebrock-Clarholz,80,39
05754024,Langenberg,97,75
05754028,Rheda-Wiedenbrück,19,61
05754032,Rietberg,11,69
05754036,Schloß Holte-Stukenbrock,20,37
05754040,Steinhagen,64,38
05754044,Verl,48,31
05754048,Versmold,52,40
05754052,Werther (Westf.),98,22
05758004,Bünde,98,86
05758008,Enger,35,52
05758012,Herford,37,96
05758016,Hiddenhausen,83,45
05758020,Kirchlengern,45,26
05758024,Löhne,98,15
05758028,Rödinghausen,71,52
05758032,Spenge,36,68
05758036,Vlotho,44,99
05762004,Bad Driburg,71,59
05762008,Beverungen,37,71
05762012,Borgentreich,50,68
05762016,Brakel,65,10
05762020,Höxter,53,62
05762024,Marienmünster,98,19
05762028,Nieheim,52,56
05762032,Steinheim,56,75
05762036,Warburg,66,31
05762040,Willebadessen,20,64
05766004,Augustdorf,12,55
05766008,Bad Salzuflen,22,13
05766012,Barntrup,36,65
05766016,Blomberg,98,79
05766020,Detmold,84,62
05766024,Dörentrup,39,86
05766028,Extertal,90,74
05766032,Horn-Bad Meinberg,59,18
05766036,Kalletal,82,64
05766040,Lage,94,66
05766044,Lemgo,17,59
05766048,Leopoldshöhe,63,90
05766052,Lügde,58,96
05766056,Oerlinghausen,79,64
05766060,Schieder-Schwalenberg,64,59
05766064,Schlangen,34,17
05770004,Bad Oeynhausen,65,48
05770008,Espelkamp,65,98
05770012,Hille,71,18
05770016,Hüllhorst,97,24
05770020,Lübbecke,23,55
05770024,Minden,88,66
05770028,Petershagen,30,71
05770032,Porta Westfalica,73,99
05770036,Preußisch Oldendorf,75,79
05770040,Rahden,32,67
05770044,Stemwede,12,100
05774004,Altenbeken,62,58
05774008,Bad Lippspringe,59,51
05774012,Borchen,86,11
05774016,Büren,32,60
05774020,Delbrück,83,58
05774024,Hövelhof,17,52
05774028,Lichtenau,35,48
05774032,Paderborn,24,38
05774036,Salzkotten,77,58
05774040,Bad Wünnenberg,31,35
05911000,Bochum,87,85
05913000,Dortmund,48,26
05914000,Hagen,65,88
05915000,Hamm,68,59
05916000,Herne,55,87
05954004,Breckerfeld,74,44
05954008,Ennepetal,63,68
05954012,Gevelsberg,57,97
05954016,Hattingen,92,94
05954020,Herdecke,44,98
05954024,Schwelm,85,91
05954028,Sprockhövel,35,91
05954032,Wetter (Ruhr),40,63
05954036,Witten,35,50
05958004,Arnsberg,66,67
05958008,Bestwig,29,65
05958012,Brilon,15,23
05958016,Eslohe (Sauerland),14,46
05958020,Hallenberg,64,26
05958024,Marsberg,82,73
05958028,Medebach,44,27
05958032,Meschede,24,10
05958036,Olsberg,38,79
05958040,Schmallenberg,33,34
05958044,Sundern (Sauerland),97,61
05958048,Winterberg,24,68
05962004,Altena,99,98
05962008,Balve,30,42
05962012,Halver,34,85
05962016,Hemer,13,48
05962020,Herscheid,70,95
05962024,Iserlohn,15,75
05962028,Kierspe,37,83
05962032,Lüdenscheid,16,56
05962036,Meinerzhagen,63,54
05962040,Menden (Sauerland),52,55
05962044,Nachrodt-Wiblingwerde,92,13
05962048,Neuenrade,11,92
05962052,Plettenberg,83,71
05962056,Schalksmühle,70,75
05962060,Werdohl,17,38
05966004,Attendorn,83,75
05966008,Drolshagen,15,42
05966012,Finnentrop,100,57
05966016,Kirchhundem,16,82
05966020,Lennestadt,23,92
05966024,Olpe,36,19
05966028,Wenden,22,17
05970004,Bad Berleburg,71,32
05970008,Burbach,29,71
05970012,Erndtebrück,51,23
05970016,Freudenberg,68,55
05970020,Hilchenbach,11,20
05970024,Kreuztal,11,25
05970028,Bad Laasphe,33,24
05970032,Netphen,19,50
05970036,Neunkirchen,99,54
05970040,Siegen,76,13
05970044,Wilnsdorf,73,92
05974004,Anröchte,24,56
05974008,Bad Sassendorf,96,68
05974012,Ense,40,47
05974016,Erwitte,93,40
05974020,Geseke,49,46
05974024,Lippetal,93,58
05974028,Lippstadt,59,57
05974032,Möhnesee,48,12
05974036,Rüthen,22,86
05974040,Soest,73,37
05974044,Warstein,77,29
05974048,Welver,66,40
05974052,Werl,72,14
05974056,Wickede (Ruhr),65,91
05978004,Bergkamen,79,96
05978008,Bönen,94,88
05978012,Fröndenberg/Ruhr,87,13
05978016,Holzwickede,74,55
05978020,Kamen,68,76
05978024,Lünen,41,72
05978028,Schwerte,53,12
05978032,Selm,34,89
05978036,Unna,88,18
05978040,Werne,70,10
06411000,Darmstadt,72,24
06412000,Frankfurt am Main,65,79
06413000,Offenbach am Main,39,56
06414000,Wiesbaden,24,70
06431001,Abtsteinach,86,58
06431002,Bensheim,90,91
06431003,Biblis,30,83
06431004,Birkenau,65,77
06431005,Bürstadt,71,30
06431006,Einhausen,33,73
06431007,Fürth,96,88
06431008,Gorxheimertal,94,37
06431009,Grasellenbach,86,23
06431010,Groß-Rohrheim,82,56
06431011,Heppenheim (Bergstraße),33,14
06431012,Hirschhorn (Neckar),31,88
06431013,Lampertheim,43,77
06431014,Lautertal (Odenwald),96,62
06431015,Lindenfels,57,24
06431016,Lorsch,91,37
06431017,Mörlenbach,58,24
06431018,Neckarsteinach,23,92
06431019,Rimbach,14,68
06431020,Viernheim,30,51
06431021,Wald-Michelbach,43,71
06431022,Zwingenberg,54,40
06431200,Michelbuch,66,91
06432001,Alsbach-Hähnlein,52,86
06432002,Babenhausen,64,90
06432003,Bickenbach,91,41
06432004,Dieburg,87,80
06432005,Eppertshausen,56,12
06432006,Erzhausen,96,100
06432007,Fischbachtal,82,54
06432008,Griesheim,23,16
06432009,Groß-Bieberau,16,44
06432010,Groß-Umstadt,76,94
06432011,Groß-Zimmern,56,90
06432012,Messel,42,60
06432013,Modautal,95,46
06432014,Mühltal,77,92
06432015,Münster (Hessen),30,75
06432016,Ober-Ramstadt,34,63
06432017,Otzberg,37,16
06432018,Pfungstadt,23,66
06432019,Reinheim,20,43
06432020,Roßdorf,18,81
06432021,Schaafheim,73,23
06432022,Seeheim-Jugenheim,41,59
06432023,Weiterstadt,80,49
06433001,Biebesheim am Rhein,18,14
06433002,Bischofsheim,84,45
06433003,Büttelborn,35,18
06433004,Gernsheim,57,77
06433005,Ginsheim-Gustavsburg,34,49
06433006,Groß-Gerau,54,43
06433007,Kelsterbach,16,37
06433008,Mörfelden-Walldorf,64,65
06433009,Nauheim,92,81
06433010,Raunheim,39,99
06433011,Riedstadt,43,89
06433012,Rüsselsheim am Main,45,50
06433013,Stockstadt am Rhein,11,51
06433014,Trebur,63,88
06434001,Bad Homburg v.d.Höhe,75,32
06434002,Friedrichsdorf,44,11
06434003,Glashütten,83,81
06434004,Grävenwiesbach,10,51
06434005,Königstein im Taunus,53,65
06434006,Kronberg im Taunus,58,45
06434007,Neu-Anspach,45,58
06434008,Oberursel (Taunus),41,77
06434009,Schmitten im Taunus,49,82
06434010,Steinbach (Taunus),23,18
06434011,Usingen,54,20
06434012,Wehrheim,99,27
06434013,Weilrod,49,69
06435001,Bad Orb,19,20
06435002,Bad Soden-Salmünster,48,72
06435003,Biebergemünd,72,65
06435004,Birstein,39,11
06435005,Brachttal,65,13
06435006,Bruchköbel,42,41
06435007,Erlensee,89,61
06435008,Flörsbachtal,27,78
06435009,Freigericht,24,92
06435010,Gelnhausen,59,95
06435011,Großkrotzenburg,69,16
06435012,Gründau,91,92
06435013,Hammersbach,95,96
06435014,Hanau,48,20
06435015,Hasselroth,96,14
06435016,Jossgrund,43,77
06435017,Langenselbold,26,55
06435018,Linsengericht,57,93
06435019,Maintal,42,49
06435020,Neuberg,69,69
06435021,Nidderau,76,68
06435022,Niederdorfelden,53,72
06435023,Rodenbach,60,75
06435024,Ronneburg,56,64
06435025,Schlüchtern,65,28
06435026,Schöneck,67,62
06435027,Sinntal,73,64
06435028,Steinau an der Straße,71,67
06435029,Wächtersbach,84,86
06435200,Gutsbezirk Spessart,16,84
06436001,Bad Soden am Taunus,87,80
06436002,Eppstein,50,34
06436003,Eschborn,88,72
06436004,Flörsheim am Main,95,85
06436005,Hattersheim am Main,60,37
06436006,Hochheim am Main,26,91
06436007,Hofheim am Taunus,45,15
06436008,Kelkheim (Taunus),80,34
06436009,Kriftel,74,74
06436010,Liederbach am Taunus,65,86
06436011,Schwalbach am Taunus,52,87
06436012,Sulzbach (Taunus),23,61
06437001,Bad König,50,94
06437003,Brensbach,63,21
06437004,Breuberg,55,14
06437005,Brombachtal,12,44
06437006,Erbach,39,61
06437007,Fränkisch-Crumbach,32,69
06437009,Höchst i.Odw.,68,30
06437010,Lützelbach,80,42
06437011,Michelstadt,89,95
06437012,Mossautal,79,39
06437013,Reichelsheim (Odenwald),69,43
06437016,Oberzent,25,97
06438001,Dietzenbach,13,37
06438002,Dreieich,78,89
06438003,Egelsbach,54,22
06438004,Hainburg,55,22
06438005,Heusenstamm,11,75
06438006,Langen (Hessen),77,24
06438007,Mainhausen,65,81
06438008,Mühlheim am Main,60,83
06438009,Neu-Isenburg,78,36
06438010,Obertshausen,30,77
06438011,Rodgau,65,71
06438012,Rödermark,96,19
06438013,Seligenstadt,27,48
06439001,Aarbergen,12,41
06439002,Bad Schwalbach,24,62
06439003,Eltville am Rhein,89,18
06439004,Geisenheim,28,66
06439005,Heidenrod,28,99
06439006,Hohenstein,87,15
06439007,Hünstetten,92,11
06439008,Idstein,71,16
06439009,Kiedrich,32,22
06439010,Lorch,70,94
06439011,Niedernhausen,60,56
06439012,Oestrich-Winkel,83,74
06439013,Rüdesheim am Rhein,50,63
06439014,Schlangenbad,31,82
06439015,Taunusstein,56,67
06439016,Waldems,99,63
06439017,Walluf,64,90
06440001,Altenstadt,63,76
06440002,Bad Nauheim,59,45
06440003,Bad Vilbel,77,98
06440004,Büdingen,59,91
06440005,Butzbach,67,78
06440006,Echzell,63,30
06440007,Florstadt,70,88
06440008,Friedberg (Hessen),74,57
06440009,Gedern,53,24
06440010,Glauburg,42,30
06440011,Hirzenhain,68,57
06440012,Karben,59,38
06440013,Kefenrod,62,24
06440014,Limeshain,84,30
06440015,Münzenberg,71,27
06440016,Nidda,50,92
06440017,Niddatal,90,81
06440018,Ober-Mörlen,56,63
06440019,Ortenberg,89,85
06440020,Ranstadt,45,48
06440021,Reichelsheim (Wetterau),33,66
06440022,Rockenberg,38,27
06440023,Rosbach v.d.Höhe,19,40
06440024,Wölfersheim,89,82
06440025,Wöllstadt,49,46
06531001,Allendorf (Lumda),57,84
06531002,Biebertal,59,98
06531003,Buseck,68,64
06531004,Fernwald,45,30
06531005,Gießen,79,16
06531006,Grünberg,69,97
06531007,Heuchelheim a.d.Lahn,15,82
06531008,Hungen,57,73
06531009,Langgöns,70,16
06531010,Laubach,39,31
06531011,Lich,33,30
06531012,Linden,54,47
06531013,Lollar,51,86
06531014,Pohlheim,44,75
06531015,Rabenau,47,59
06531016,Reiskirchen,16,74
06531017,Staufenberg,46,99
06531018,Wettenberg,45,20
06532001,Aßlar,14,36
06532002,Bischoffen,43,27
06532003,Braunfels,83,85
06532004,Breitscheid,63,87
06532005,Dietzhölztal,97,77
06532006,Dillenburg,92,11
06532007,Driedorf,71,24
06532008,Ehringshausen,99,40
06532009,Eschenburg,91,42
06532010,Greifenstein,19,70
06532011,Haiger,83,40
06532012,Herborn,93,42
06532013,Hohenahr,75,61
06532014,Hüttenberg,15,30
06532015,Lahnau,19,97
06532016,Leun,60,49
06532017,Mittenaar,74,50
06532018,Schöffengrund,64,56
06532019,Siegbach,51,13
06532020,Sinn,34,78
06532021,Solms,25,59
06532022,Waldsolms,17,49
06532023,Wetzlar,73,13
06533001,Beselich,74,65
06533002,Brechen,88,19
06533003,Bad Camberg,97,74
06533004,Dornburg,23,89
06533005,Elbtal,46,37
06533006,Elz,87,66
06533007,Hadamar,86,63
06533008,Hünfelden,77,81
06533009,Limburg a.d.Lahn,36,72
06533010,Löhnberg,43,15
06533011,Mengerskirchen,66,38
06533012,Merenberg,90,50
06533013,Runkel,35,42
06533014,Selters (Taunus),64,53
06533015,Villmar,65,36
06533016,Waldbrunn (Westerwald),72,14
06533017,Weilburg,20,70
06533018,Weilmünster,75,87
06533019,Weinbach,55,70
06534001,Amöneburg,19,20
06534002,Angelburg,22,36
06534003,Bad Endbach,91,86
06534004,Biedenkopf,33,27
06534005,Breidenbach,13,74
06534006,Cölbe,18,11
06534007,Dautphetal,72,80
06534008,Ebsdorfergrund,59,49
06534009,Fronhausen,34,70
06534010,Gladenbach,27,60
06534011,Kirchhain,71,93
06534012,Lahntal,17,85
06534013,Lohra,52,32
06534014,Marburg,84,89
06534015,Münchhausen,60,14
06534016,Neustadt (Hessen),97,88
06534017,Rauschenberg,16,58
06534018,Stadtallendorf,92,67
06534019,Steffenberg,57,93
06534020,Weimar (Lahn),94,91
06534021,Wetter (Hessen),42,100
06534022,Wohratal,67,56
06535001,Alsfeld,24,23
06535002,Antrifttal,71,55
06535003,Feldatal,61,71
06535004,Freiensteinau,93,17
06535005,Gemünden (Felda),90,65
06535006,Grebenau,30,31
06535007,Grebenhain,88,72
06535008,Herbstein,85,32
06535009,Homberg (Ohm),37,86
06535010,Kirtorf,49,32
06535011,Lauterbach (Hessen),35,43
06535012,Lautertal (Vogelsberg),93,97
06535013,Mücke,23,34
06535014,Romrod,92,75
06535015,Schlitz,59,77
06535016,Schotten,11,36
06535017,Schwalmtal,35,85
06535018,Ulrichstein,98,29
06535019,Wartenberg,70,76
06611000,Kassel,66,16
06631001,Bad Salzschlirf,39,99
06631002,Burghaun,60,94
06631003,Dipperz,54,66
06631004,Ebersburg,66,99
06631005,Ehrenberg (Rhön),65,77
06631006,Eichenzell,79,29
06631007,Eiterfeld,84,42
06631008,Flieden,39,85
06631009,Fulda,70,30
06631010,Gersfeld (Rhön),48,74
06631011,Großenlüder,34,44
06631012,Hilders,71,33
06631013,Hofbieber,88,45
06631014,Hosenfeld,88,15
06631015,Hünfeld,71,42
06631016,Kalbach,29,14
06631017,Künzell,72,40
06631018,Neuhof,84,56
06631019,Nüsttal,75,99
06631020,Petersberg,90,11
06631021,Poppenhausen (Wasserkuppe),41,20
06631022,Rasdorf,93,23
06631023,Tann (Rhön),65,34
06632001,Alheim,31,80
06632002,Bad Hersfeld,11,97
06632003,Bebra,14,19
06632004,Breitenbach a.Herzberg,31,19
06632005,Cornberg,77,57
06632006,Friedewald,36,85
06632007,Hauneck,74,64
06632008,Haunetal,69,10
06632009,Heringen (Werra),49,82
06632010,Hohenroda,100,69
06632011,Kirchheim,69,26
06632012,Ludwigsau,71,21
06632013,Nentershausen,23,100
06632014,Neuenstein,91,16
06632015,Niederaula,90,19
06632016,Philippsthal (Werra),67,51
06632017,Ronshausen,47,21
06632018,Rotenburg a.d.Fulda,68,69
06632019,Schenklengsfeld,32,13
06632020,Wildeck,82,54
06633001,Ahnatal,64,73
06633002,Bad Karlshafen,49,90
06633003,Baunatal,25,30
06633004,Breuna,32,14
06633005,Calden,32,94
06633006,Bad Emstal,94,44
06633007,Espenau,17,40
06633008,Fuldabrück,57,83
06633009,Fuldatal,48,25
06633010,Grebenstein,73,84
06633011,Habichtswald,83,98
06633012,Helsa,90,12
06633013,Hofgeismar,44,37
06633014,Immenhausen,64,99
06633015,Kaufungen,37,53
06633016,Liebenau,38,93
06633017,Lohfelden,73,16
06633018,Naumburg,81,76
06633019,Nieste,39,26
06633020,Niestetal,84,10
06633022,Reinhardshagen,81,48
06633023,Schauenburg,80,35
06633024,Söhrewald,69,76
06633025,Trendelburg,83,39
06633026,Vellmar,29,71
06633028,Wolfhagen,36,30
06633029,Zierenberg,27,68
06633030,Wesertal,76,16
06633200,Gutsbezirk Reinhardswald,97,66
06634001,Borken (Hessen),91,90
06634002,Edermünde,84,32
06634003,Felsberg,86,33
06634004,Frielendorf,66,97
06634005,Fritzlar,44,14
06634006,Gilserberg,41,63
06634007,Gudensberg,25,43
06634008,Guxhagen,12,43
06634009,Homberg (Efze),28,90
06634010,Jesberg,18,16
06634011,Knüllwald,44,91
06634012,Körle,26,63
06634013,Malsfeld,53,55
06634014,Melsungen,93,72
06634015,Morschen,59,28
06634016,Neuental,35,98
06634017,Neukirchen,60,64
06634018,Niedenstein,53,21
06634019,Oberaula,45,37
06634020,Ottrau,62,16
06634021,Schrecksbach,24,58
06634022,Schwalmstadt,66,77
06634023,Schwarzenborn,82,62
06634024,Spangenberg,57,46
06634025,Wabern,82,87
06634026,Willingshausen,83,29
06634027,Bad Zwesten,67,90
06635001,Allendorf (Eder),22,66
06635002,Bad Arolsen,18,26
06635003,Bad Wildungen,65,91
06635004,Battenberg (Eder),17,94
06635006,Burgwald,27,32
06635007,Diemelsee,96,60
06635008,Diemelstadt,49,30
06635009,Edertal,15,50
06635010,Frankenau,58,90
06635011,Frankenberg (Eder),28,24
06635012,Gemünden (Wohra),43,29
06635013,Haina (Kloster),74,73
06635014,Hatzfeld (Eder),70,15
06635015,Korbach,77,51
06635016,Lichtenfels,99,60
06635017,Rosenthal,42,15
06635018,Twistetal,69,98
06635019,Vöhl,87,83
06635020,Volkmarsen,41,53
06635021,Waldeck,62,94
06635022,Willingen (Upland),90,86
06636001,Bad Sooden-Allendorf,26,86
06636002,Berkatal,77,91
06636003,Eschwege,59,27
06636004,Großalmerode,36,100
06636005,Herleshausen,48,94
06636006,Hessisch Lichtenau,98,96
06636007,Meinhard,31,85
06636008,Meißner,51,58
06636009,Neu-Eichenberg,48,10
06636010,Ringgau,83,64
06636011,Sontra,65,83
06636012,Waldkappel,17,72
06636013,Wanfried,17,13
06636014,Wehretal,60,48
06636015,Weißenborn,44,82
06636016,Witzenhausen,27,19
06636200,Gutsbezirk Kaufunger Wald,22,81
07111000,Koblenz,88,20
07131007,Bad Neuenahr-Ahrweiler,62,86
07131070,Remagen,58,89
07131077,Sinzig,42,67
07131090,Grafschaft,35,11
07131001,Adenau,91,43
07131004,Antweiler,87,20
07131005,Aremberg,95,23
07131008,Barweiler,20,96
07131009,Bauler,46,92
07131015,Dankerath,17,94
07131018,Dorsel,16,58
07131021,Eichenbach,82,87
07131022,Fuchshofen,77,50
07131026,Harscheid,65,18
07131028,Herschbroich,11,70
07131030,Hoffeld,76,53
07131032,Honerath,16,63
07131033,Hümmel,73,46
07131034,Insul,90,97
07131037,Kaltenborn,68,20
07131042,Kottenborn,91,88
07131044,Leimbach,38,94
07131050,Meuspath,40,76
07131051,Müllenbach,25,37
07131052,Müsch,37,42
07131058,Nürburg,57,34
07131062,Ohlenhard,60,22
07131065,Pomster,35,53
07131066,Quiddelbach,98,10
07131069,Reifferscheid,58,51
07131072,Rodder,20,67
07131074,Schuld,62,44
07131075,Senscheid,25,25
07131076,Sierscheid,81,33
07131079,Trierscheid,87,58
07131082,Wershofen,18,79
07131083,Wiesemscheid,60,13
07131084,Wimbach,87,53
07131085,Winnerath,57,95
07131086,Wirft,66,13
07131501,Dümpelfeld,33,26
07131002,Ahrbrück,91,21
07131003,Altenahr,11,16
07131011,Berg,31,25
07131017,Dernau,92,76
07131027,Heckenbach,29,24
07131029,Hönningen,86,22
07131036,Kalenborn,43,59
07131039,Kesseling,65,84
07131040,Kirchsahr,49,73
07131047,Lind,96,30
07131049,Mayschoß,90,23
07131068,Rech,16,15
07131006,Bad Breisig,17,45
07131014,Brohl-Lützing,61,52
07131025,Gönnersdorf,82,75
07131081,Waldorf,35,36
07131016,Dedenbach,86,65
07131041,Königsfeld,36,26
07131054,Niederdürenbach,28,34
07131055,Niederzissen,74,85
07131059,Oberdürenbach,49,91
07131060,Oberzissen,15,99
07131073,Schalkenbach,70,69
07131201,Brenk,47,73
07131202,Burgbrohl,82,17
07131204,Galenberg,12,76
07131205,Glees,59,66
07131206,Hohenleimbach,95,64
07131208,Spessart,10,79
07131209,Wassenach,17,77
07131210,Wehr,63,60
07131211,Weibern,75,89
07131502,Kempenich,82,35
07132018,Daaden,48,34
07132019,Derschen,97,82
07132026,Emmerzhausen,61,68
07132036,Friedewald,64,87
07132050,Herdorf,49,53
07132068,Mauden,52,26
07132075,Niederdreisbach,39,54
07132079,Nisterberg,95,62
07132101,Schutzbach,49,93
07132113,Weitefeld,47,22
07132007,Birkenbeul,20,98
07132010,Bitzen,22,85
07132013,Breitscheidt,49,94
07132014,Bruchertseifen,46,58
07132028,Etzbach,81,59
07132034,Forst,99,65
07132038,Fürthen,70,57
07132044,Hamm (Sieg),64,16
07132077,Niederirsen,88,90
07132091,Pracht,17,89
07132096,Roth,80,33
07132102,Seelbach bei Hamm (Sieg),13,81
07132012,Brachbach,49,77
07132037,Friesenhagen,44,59
07132045,Harbach,57,77
07132063,Kirchen (Sieg),95,88
07132072,Mudersbach,60,63
07132076,Niederfischbach,28,88
07132008,Birken-Honigsessen,23,15
07132011,Mittelhof,15,85
07132054,Hövels,37,70
07132080,Katzwinkel (Sieg),70,90
07132105,Selbach (Sieg),98,61
07132117,Wissen,29,88
07132002,Alsdorf,27,88
07132006,Betzdorf,94,21
07132020,Dickendorf,55,38
07132024,Elben,34,40
07132025,Elkenroth,67,46
07132030,Fensdorf,15,82
07132039,Gebhardshain,35,93
07132042,Grünebach,71,72
07132059,Kausen,49,12
07132066,Malberg,27,69
07132071,Molzhain,56,84
07132073,Nauroth,37,60
07132095,Rosenheim (Landkreis Altenkirchen),55,12
07132098,Scheuerfeld,52,41
07132107,Steinebach/Sieg,37,59
07132108,Steineroth,35,53
07132111,Wallmenroth,16,68
07132001,Almersbach,32,13
07132004,Bachenberg,71,42
07132005,Berzhausen,35,96
07132009,Birnbach,55,30
07132015,Bürdenbach,86,80
07132016,Burglahr,61,46
07132017,Busenhausen,44,58
07132022,Eichelhardt,12,73
07132023,Eichen,52,57
